"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2020","3,295.88","3,297.12","3,297.12","3,295.88","-","-0.03%"
"Jan 15, 2020","3,296.88","3,279.12","3,299.38","3,277.88","-","0.27%"
"Jan 14, 2020","3,288.00","3,289.25","3,296.75","3,275.25","1.69M","-0.05%"
"Jan 13, 2020","3,289.75","3,265.75","3,291.00","3,265.50","1.01M","0.77%"
"Jan 10, 2020","3,264.75","3,275.50","3,287.00","3,260.75","1.53M","-0.34%"
"Jan 09, 2020","3,276.00","3,261.25","3,276.75","3,257.75","1.30M","0.48%"
"Jan 08, 2020","3,260.25","3,231.75","3,267.75","3,181.00","2.28M","0.77%"
"Jan 07, 2020","3,235.25","3,243.50","3,254.50","3,226.00","1.29M","-0.25%"
"Jan 06, 2020","3,243.50","3,220.25","3,249.50","3,208.75","1.50M","0.25%"
"Jan 03, 2020","3,235.50","3,261.00","3,263.50","3,206.75","1.76M","-0.72%"
"Jan 02, 2020","3,259.00","3,237.00","3,261.75","3,234.25","1.42M","0.66%"
"Jan 01, 2020","3,237.62","3,236.00","3,240.62","3,234.88","-","0.20%"
"Dec 31, 2019","3,231.00","3,223.25","3,236.25","3,213.00","1.16M","0.23%"
"Dec 30, 2019","3,223.50","3,238.25","3,244.25","3,217.25","1.12M","-0.43%"
"Dec 27, 2019","3,237.50","3,242.00","3,254.00","3,235.50","984.39K","-0.22%"
"Dec 26, 2019","3,244.50","3,227.50","3,244.75","3,227.00","464.64K","0.53%"
"Dec 25, 2019","3,227.38","3,226.25","3,228.12","3,226.25","-","0.05%"
"Dec 24, 2019","3,225.75","3,228.25","3,231.25","3,222.50","297.97K","-0.05%"
"Dec 23, 2019","3,227.25","3,227.00","3,234.25","3,224.25","665.90K","-0.12%"
"Dec 20, 2019","3,231.02","3,208.50","3,220.25","3,204.25","46.15K","0.75%"
"Dec 19, 2019","3,207.10","3,195.00","3,209.00","3,190.25","433.42K","0.39%"
"Dec 18, 2019","3,194.75","3,189.50","3,199.00","3,188.50","582.63K","0.09%"
"Dec 17, 2019","3,192.00","3,192.50","3,199.25","3,187.75","1.03M","-0.07%"
"Dec 16, 2019","3,194.25","3,176.50","3,198.75","3,173.75","1.41M","0.70%"
